net,length_um
net11,247.78
net12,207.01
net8,171.18
net2,159.96
net3,149.32
net4,144.2
net9,131.3
net5,131.2
clk,117.13
net7,116.65
net6,97.7
net15,95.95
_100_,94.02
clknet_2_1__leaf_clk,88.66
net10,86.1
clknet_2_2__leaf_clk,81.26
net13,75.005
_050_,74.84
net14,74.405
_037_,73.58
net1,73.52
_045_,73.4
clknet_2_0__leaf_clk,65.5
_098_,55.655
clknet_0_clk,45.5
_107_,43.84
bit_idx\[0\],42.72
clknet_2_3__leaf_clk,41.5
state\[0\],40.07
bit_idx\[1\],39.18
clk_cnt\[0\],36.32
_077_,34.05
net16,33.6
state\[2\],32.74
_049_,32.64
clk_cnt\[7\],31.3
data_reg\[3\],29.9
_099_,28.96
clk_cnt\[2\],28.34
_036_,28.22
_075_,27.88
clk_cnt\[1\],27.63
clk_cnt\[8\],26.96
_055_,26.42
data_reg\[2\],26.37
_057_,24.84
_048_,23.6
_059_,22.38
_041_,22.135
clk_cnt\[5\],21.82
clk_cnt\[6\],21.64
data_reg\[6\],21.085
clk_cnt\[13\],20.92
data_reg\[7\],20.46
_066_,20.28
clk_cnt\[4\],20.28
_096_,20.14
_034_,19.48
data_reg\[1\],19.16
_040_,19.02
bit_idx\[2\],18.12
clk_cnt\[3\],17.775
_102_,17.36
parity_bit,16.1
_071_,15.88
_042_,15.54
data_in[3],15.28
_064_,15.08
clk_cnt\[11\],14.42
_065_,14.18
_060_,13.96
_063_,13.36
_017_,13.04
_038_,12.84
_095_,12.74
_043_,12.56
data_reg\[0\],12.42
_076_,12.18
clk_cnt\[9\],12.16
_033_,11.92
_108_,11.77
_081_,11.66
clk_cnt\[14\],11.34
data_in[1],11.34
data_reg\[4\],11.08
_001_,10.78
_010_,10.74
_061_,10.58
net29,10.46
clk_cnt\[10\],10.24
data_in[6],10.08
_039_,10.02
tx_out,9.86
data_in[0],9.64
_008_,9.48
net27,9.38
data_in[4],9.3
net17,9.24
rst_n,8.84
_044_,8.6
_094_,8.36
net28,8.02
net41,7.88
_012_,7.82
_062_,7.64
_104_,7.24
_089_,7.22
_058_,7.06
net34,7.06
net40,7
_035_,6.88
_006_,6.84
_046_,6.78
_024_,6.72
_068_,6.72
_080_,6.72
_013_,6.54
_032_,6.48
data_in[5],6.31
_078_,6.26
_109_,6.26
net18,6.2
_072_,6.18
_074_,6.18
_000_,5.92
_052_,5.84
data_reg\[5\],5.84
_018_,5.8
_028_,5.72
_069_,5.72
_105_,5.62
_101_,5.58
tx_start,5.41
_019_,5.34
clk_cnt\[12\],5.34
_091_,5.26
state\[1\],5.22
_011_,5.14
_053_,5.12
_023_,5.04
net21,4.92
_110_,4.88
data_in[7],4.73
net42,4.7
_079_,4.68
net31,4.6
_027_,4.54
_070_,4.48
_021_,4.46
data_in[2],4.39
tx_busy,4.39
net26,4.14
_092_,4.02
_047_,4
_082_,4
clk_cnt\[15\],4
_004_,3.98
_097_,3.88
net19,3.88
_056_,3.78
_067_,3.42
_085_,3.42
_030_,3.3
_031_,3.2
_073_,3.1
_106_,3.1
_003_,3.08
_009_,3.08
net22,3.08
net32,3.08
_111_,2.96
net30,2.76
net36,2.76
_022_,2.74
_054_,2.64
_016_,2.62
_026_,2.62
net38,2.62
_051_,2.5
_087_,2.5
_103_,2.5
net24,2.3
_014_,2.28
_093_,2.16
net25,2.16
_086_,2.06
_088_,2.06
_090_,2.06
net39,1.94
net20,1.84
net23,1.84
net35,1.84
net37,1.84
_007_,1.82
_029_,1.82
_005_,1.7
_025_,1.7
_084_,1.6
_020_,1.545
_002_,1.36
_015_,1.36
_083_,1.14
net33,0.46
